baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENDOU	1120.20017485637	1.46208842065565	0.25123656214867	5.819568649369	5.89996883132993e-09	3.84500968737772e-05
COL9A2	80.8315501030382	-2.82467408164108	0.615945708487266	-4.58591405495518	4.52004523683848e-06	0.0196380898723176
ACSS2	439.930287527197	1.31952517379833	0.29229682510325	4.51433289886822	6.35163796132513e-06	0.0206968122969779
CATSPERD	34.8031167793908	1.96927532640214	0.450157279239858	4.37463841466139	1.21633925092057e-05	0.0278511455420476
VOM2R47	133.605737343699	9.99586652731789	2.29097964967404	4.36314068906728	1.28208434289002e-05	0.0278511455420476
CA6	1238.96943248558	2.71928519854561	0.647077222369866	4.2024121766896	2.64085717220504e-05	0.0425963231706391
CNTN1	120.37682630656	3.09962997008759	0.735507017975027	4.2142765389532	2.50580108688124e-05	0.0425963231706391
PDZD7	17.4371176527356	5.69395386098574	1.36285327738305	4.17796541673163	2.94128363154635e-05	0.0425963231706391
SLC36A4	101.843291527517	1.48242225862165	0.358824807479235	4.1313260056788	3.60676640618363e-05	0.0453906168020297
