20200618_C_N1N_CD45_CGDA7928_34_S34	20200618_C_N1R_CD45_CGDA7928_33_S33	20200618_C_N2N_CD45_CGDA7928_36_S36	20200618_C_N2R_CD45_CGDA7928_35_S35	20200618_C_P2N_CD45_CGDA7928_40_S38	20200618_C_P2R_CD45_CGDA7928_39_S37	20200618_D_N1N_CD45_CGDA7928_42_S40	20200618_D_N1R_CD45_CGDA7928_41_S39	20200618_D_N2R_CD45_CGDA7928_43_S41	20200618_D_P1N_CD45_CGDA7928_46_S44	20200618_D_P1R_CD45_CGDA7928_45_S43	20200618_D_P2N_CD45_CGDA7928_48_S46	20200618_D_P2R_CD45_CGDA7928_47_S45
ABCG3L1	44.2821725168126	18.3525033254278	30.51514024043	12.9200515353796	34.451471377396	31.7947225053281	7.03882735366982	67.5651619020997	24.0412823385824	27.3607548518666	18.8295867346266	46.4614650962058	8.72669645478793
ABCG3L2	4.92024139075696	1.26568988451226	4.35930574863286	0.922860823955684	3.33401335910284	4.96792539145751	0	21.9979596890557	0	3.31645513355959	1.79329397472634	4.12990800855162	1.74533929095759
ABCG3L3	64.9471863579918	48.096215611466	29.4253138032718	55.371649437341	51.1215381729102	31.7947225053281	30.5015851992359	109.989798445279	8.9041786439194	29.8480962020363	19.7262337219898	56.7862351175848	66.3228930563883
ABCG3L4	6.88833794705974	12.0240539028665	4.35930574863286	4.61430411977842	3.33401335910284	9.93585078291503	7.03882735366982	12.5702626794604	7.12334291513552	17.4113894511878	6.27652891154221	6.19486201282743	5.23601787287276
ABCG4	0.984048278151392	2.53137976902452	16.3473965573732	0	0	0.993585078291503	30.5015851992359	3.1425656698651	0	3.31645513355959	7.17317589890538	2.06495400427581	0.872669645478793
ABCG5	135.798662384892	17.0868134409155	0	5.5371649437341	7.77936450457329	0.993585078291503	75.0808251058114	10.9989798445279	0	5.80379648372928	17.9329397472634	15.4871550320686	27.9254286553214
ABHD1	232.235393643728	236.051163461537	349.834286327787	236.252370932655	186.704748109759	175.864558857596	213.511096394651	411.676102752329	170.06981209886	217.227811248153	211.608689017709	226.112463468201	265.291572225553
ABHD10	33.4576414571473	46.1976807846976	27.2456609289554	19.3800773030694	76.6823072593653	44.7113285231176	19.9433441687312	175.983677512446	15.137103694663	33.9936651189858	21.5195276967161	66.078528136826	28.7980983008002
ABHD11	810.855781196747	872.060330428949	313.870013901566	512.187757295404	325.62197140571	358.684213263232	366.019022390831	798.211680145736	400.688038976373	829.942897173287	711.937707966359	453.257403938541	303.68903662662
ABHD11-AS1	44.2821725168126	22.7824179212207	27.2456609289554	24.9172422468035	20.004080154617	14.9037761743725	16.4239304918962	0	4.4520893219597	41.4556891694949	25.1061156461688	21.682017044896	29.670767946279
ABHD12	870.882726163981	692.965211770463	2382.36059162786	2415.12677629202	2359.37012045844	1394.99344992127	1444.13274539459	1060.61591357947	865.486164188965	1044.68336707127	956.722335516505	1140.88708736239	1758.42933563977
ABHD13	784.286477686659	832.191099066812	972.125181945128	822.268994144514	1052.43688369013	1126.72547878256	1256.43068263006	925.485589775273	880.623267883628	960.113761165501	683.245004370737	834.241417727428	1181.59469997829
ABHD14A	24.6012069537848	59.4874245720763	96.9945529070812	108.897577226771	28.8947824455579	72.5317107152797	19.9433441687312	402.248405742733	104.178890133857	55.5506234871231	45.7289963555218	71.2409131475155	31.4161072372366
ABHD14B	147.607241722709	82.269842493297	128.599519584669	72.906005092499	100.020400773085	144.069836352268	141.949684965675	3.1425656698651	155.823126268589	70.4746715881413	94.1479336731331	172.42365935703	127.409768239904
ABHD15	114.149600265561	115.177779490616	102.443685092872	119.049046290283	257.830366437286	122.210964629855	199.433441687312	0	49.8634004059486	56.379737270513	98.6311686099489	89.8254991859978	219.040081015177
ABHD16A	3340.84390432397	3345.21836476591	3151.77805626156	2909.78017793227	2819.46396401463	2699.57065771801	2655.98418811808	2077.23590778083	2687.28111473487	3182.96781443382	3595.55441932632	2259.05968067774	2520.26993614275
ABHD16B	0	0	0	5.5371649437341	3.33401335910284	0	11.731378922783	0	0	3.31645513355959	0	1.03247700213791	0
ABHD17A	1372.74734802119	1959.92078616724	3253.13191491727	3049.13216234958	5228.84428485962	2556.49440644404	3712.98142906083	779.356286126546	2229.60633243742	1672.32250109742	2391.35751529758	1689.13237549761	4272.59058426417
ABHD17B	2518.17954378941	2521.25424994843	2336.58788126721	2663.3763379361	2372.70617389485	2603.19290512374	2657.15732601036	2457.48635383451	3337.28615574099	2305.7654316073	2448.74292248882	2138.2598714276	2677.35047232894
ABHD17C	643.56757391101	977.745435785723	730.183712896004	595.245231451416	1110.22644858124	1000.54017383954	1486.36570951661	510.666921353079	1587.61505221083	727.96190181633	1249.92590038426	781.585090618395	1329.0758700642
ABHD18	110.213407152956	193.01770738812	19.6168758688479	17.534355655158	21.1154179409846	75.5124659501542	75.0808251058114	293.829890132387	27.6029537961501	148.411367226792	97.7345216225858	91.8904531902736	16.5807232640971
ABHD2	492.024139075696	280.983154361722	502.409987529937	325.769870856356	493.43397714722	510.702730241832	693.324494336477	196.410354366569	633.087101582669	311.746782554601	485.982667150839	332.457594688406	555.017894524512
ABHD3	14.7607241722709	22.7824179212207	7.62878506010751	5.5371649437341	8.8907022909409	5.96151046974902	21.1164820610095	0	17.8083572878388	7.46202405050908	21.5195276967161	18.5845860384823	48.8695001468124
ABHD4	983.06422987324	698.027971308513	2021.62804092849	1513.49175128732	1499.19467380991	1146.59718034839	1308.04874989031	835.922468184118	1206.51620625108	630.126475376322	944.16927769342	1224.51772453556	1495.75577235065
ABHD5	750.828836229512	674.612708445036	777.046249693807	792.737447777932	882.402202375884	860.444677800441	859.910075039996	2224.93649426449	1035.55597628783	1027.27197762008	700.281297130637	792.942337641912	945.101226053533
ABHD6	1404.23689292204	1723.23677776344	1069.11973485221	803.8117776654	872.400162298576	1199.25718949784	916.220693869355	1275.88166196523	985.692575881877	1658.22756677979	1231.992960637	1134.69222534956	841.253538241557
ABHD8	54.1226552983265	169.602444524643	345.474980579154	312.849819320977	282.279797737374	123.204549708146	150.161650211623	0	231.508644741904	91.2025161728887	121.943990281391	136.286964282204	141.372482567565
ABI1	4677.18146605356	4614.70531893171	6670.82762184544	4538.62953221405	5510.01274481062	5214.33449087381	6286.84596471943	10467.8862463207	5454.69983726502	6291.31538836254	4826.65073297596	4873.29145009091	6088.61611650554
ABI2	387.715021591648	175.930893947204	414.134046120122	314.695540968888	451.203141265251	363.65213865469	625.282496584336	351.967355024892	171.850647827644	251.221476367139	168.569633624276	145.579257301445	418.008760184342
ABI3	448.726014837035	1519.46070635697	1197.71925443688	1255.09072057973	1673.67470626962	1136.66132956548	1163.75278914008	1015.04871136643	1449.60028323008	562.139145138351	976.448569238494	678.337390404604	1604.8394780355
ABL1	569.763953049656	262.630651036294	410.864566808647	341.458504863603	442.31243897431	385.511010377103	442.27298538892	6.28513133973021	348.153384977248	327.499944439009	416.940849123875	288.061083596476	354.30387606439
ABL2	173.192496954645	132.897437873788	172.192577070998	224.255180221231	104.465751918556	84.4547316547777	157.200477565293	12.5702626794604	209.248198132106	129.341750208824	130.01381316766	103.247700213791	129.155107530861
ABLIM1	1530.19507252541	1954.85802662919	811.92069568287	731.828633396857	841.282704280283	2638.96196794223	707.402149043817	2114.94669581922	1056.03558716884	1375.49976664384	1561.95905198665	2115.54537738057	1001.82475300965
ABLIM2	0	2.53137976902452	46.8625367978033	2.76858247186705	61.1235782502187	19.8717015658301	37.5404125529057	0	48.9729825415567	14.9240481010182	28.6927035956215	15.4871550320686	54.978187665164
ABLIM3	393.619311260557	26.5794875747575	27.2456609289554	23.9943814228478	34.451471377396	16.8909463309555	62.1763082907501	1.57128283493255	138.014768980751	34.8227789023757	43.0390553934323	68.1434821411018	87.2669645478793
ABO	11.8085793378167	13.9225887296349	21.7965287431643	0	18.8927423682494	3.97434031316601	23.4627578455661	0	41.8496396264212	0	14.3463517978108	7.22733901496534	15.7080536186183
ABR	597.317304837895	1108.11149389049	1547.55354076467	1340.91677720761	1849.26607651571	1621.53084777173	2701.73656591693	650.511093662077	1277.74963540243	1121.79094892653	1153.08802574904	1005.63260008232	1794.2087911044
ABRACL	5524.44703354191	7342.89986499789	4317.89234402085	3609.30868249068	2709.44152316424	4952.02803020485	2477.66722849178	22975.2976123838	3168.10676150652	4925.76498711938	7202.76524948836	6414.77961428281	3228.00501862606
ABRAXAS1	279.469710994995	387.301104660752	71.9285448524422	105.206133930948	93.3523740548794	236.473248633378	165.412442811241	1351.30323804199	141.576440438318	609.398630791575	414.250908161786	284.963652590062	143.117821858522
ABRAXAS2	765.589560401783	1635.27133078984	795.573299125497	1142.50170005714	840.171366493915	1305.57079287503	1082.80627457287	1538.28589539897	1328.50345367277	1858.87310236015	1361.1101268173	2011.26520016464	1010.55144946444
ABT1	1566.60485881702	3004.74778583211	1293.6239809068	1209.8705402059	1281.37246768186	1575.82593417032	1093.36451560338	3750.652126984	1244.80417441993	2074.44268604152	1866.81902769012	2326.1706858167	1725.26788911157
ABTB1	491.040090797544	662.588654542169	710.566837027156	821.346133320558	796.829192825578	769.034850597623	773.097871011402	474.527416149631	626.854176531926	824.968214472948	747.803587460886	659.752804366122	763.585939793944
ABTB2	668.168780864795	755.616861053821	662.614473792195	643.233994297112	1800.36721391553	1154.54586097473	1041.74644834313	147.70058648366	763.978527648284	681.531529946496	1284.89513289143	808.42949267398	1150.17859274105
AC1576	56.0907518546293	55.6903549185395	46.8625367978033	48.9116236696512	50.0102003865426	55.6407643843242	77.427100890368	0	46.3017289483809	50.5759407867837	38.5558204566164	52.6563271090332	73.3042502202186
ACAA1A	617.982318679074	634.7434770829	1365.55252575924	1165.57322065603	1361.38878830033	866.40618827019	540.816568340298	790.355265971074	993.706336661405	683.189757513275	686.83159232019	824.949124708187	1120.50782479477
ACAA1B	22.633110397482	24.048107805733	38.1439253005375	34.1458504863603	32.2287958046608	17.884531409247	11.731378922783	32.9969395335836	24.0412823385824	21.5569583681373	17.9329397472634	24.7794480513097	31.4161072372366
ACAA2	1766.36665928175	856.239206872545	1910.46574433835	1567.94053990071	990.201967653543	808.778253729283	722.652941643435	1860.39887656014	956.308786356943	538.923959203433	713.731001941085	1903.8875919423	820.309466750066
ACACA	146.623193444557	64.5501841101254	75.1980241639169	87.6717782757899	45.5648492410721	94.3905824376928	38.713550445184	45.567202213044	198.563183759403	165.822756677979	86.0781107868645	85.6955911774462	124.791759303467
ACACB	381.81073192274	36.0721617085995	153.665527639308	157.809200896422	110.022440850394	82.4675614981947	349.595091898934	6.28513133973021	89.9322043035859	77.9366956386504	130.910460155023	134.222010277928	185.878634486983
ACAD11	65.9312346361432	42.4006111311608	17.4372229945314	57.2173710852524	23.3380935137199	80.4803913416117	64.5225840753067	190.125223026839	2.67125359317582	64.670875104412	39.4524674439796	77.4357751603429	11.3447053912243
ACAD9	744.924546560603	813.205750799128	407.595087497173	838.880488975717	435.644412256104	634.90086502827	305.015851992359	1134.4662068213	778.225213478555	1023.12640870313	703.86788508009	693.824545436673	395.319349401893
ACADL	1645.32872106913	997.363628995663	1357.92374069914	870.25775699021	1083.55434170842	982.655642430296	1378.43702342701	916.057892765678	950.0758613062	835.746693657017	933.409513845062	946.78141096046	946.846565344491
ACADM	1595.14225888341	1654.88952399978	2182.92235362791	2494.49280715221	1970.40189522978	1750.69690794963	1371.39819607334	6164.1425614404	1401.51771855291	1975.77814581813	1055.35350412645	1569.36504324962	1646.72762101848
ACADS	301.118773114326	560.067773896676	349.834286327787	336.844200743825	523.440097379145	541.503867668869	369.538436067665	234.12114240495	579.662029719153	373.930316308844	576.54401287452	492.491530019781	351.685867127954
ACADSB	202.713945299187	121.506228913177	62.1201069180183	32.3001288384489	91.1296984821442	62.5958599323647	38.713550445184	94.2769700959531	97.0555472187214	106.126564273907	56.4887602038798	129.059625267238	75.922259156655
ACADVL	3186.34832465421	2315.57964371518	2251.58141916887	2195.48590019057	2124.87784753487	1725.85728099234	1845.34590455377	2638.18387985175	1397.95604709535	2265.96797000459	2161.81588653261	1892.53034491878	1755.81132670333
ACAP1	3005.28344147435	8856.0321219323	3778.42825762753	5280.60963467442	5196.61548905496	7760.89304653493	4389.88199290541	9034.87630086217	5100.31352723703	6319.5052569978	7248.49424584388	7251.08598601451	4519.55609393467
ACAP2	1077.53286457577	732.201598190344	1853.79476960612	1100.97296297913	1546.98219862372	1477.46101141946	3113.50796610662	787.212700301209	1681.99934583637	987.474516017368	1066.11326797481	835.273894729566	1586.51341548045
ACAP3	1008.64948510518	629.68071754485	980.843793442394	725.368607629167	1360.27745051396	796.855232789785	1988.46872741172	6.28513133973021	1040.89848347418	855.645424458374	1014.10774270775	542.0504261224	1051.56692280195
ACAT1	1379.63568596825	1556.16571300783	1384.07957519093	1419.35994724384	1563.65226541923	1575.82593417032	971.358174806435	2946.15531549853	1428.23025448467	1334.04407747434	1274.13536904307	1501.22156110851	1000.95208336418
ACAT2	600.269449672349	563.864843550213	1211.88699811994	1139.73311758527	1250.25500966356	896.213740618935	1465.2492274556	1885.53940191906	1000.82967957654	1171.53777592993	817.742052475213	1092.3606682619	1289.80573601766
ACBD3	677.025215368157	615.758128815216	499.140508218463	550.947911901543	511.215381729102	414.324977647557	506.795569464227	766.786023447085	430.071828501307	551.360665954282	555.024485177804	464.614650962058	429.353465575566
ACBD4	381.81073192274	248.075217364403	263.737997792288	327.615592504268	256.719028650918	268.267971138706	183.009511195415	31.425656698651	293.83789524934	234.639200699341	398.111262389248	232.307325481029	293.217000880875
ACBD5	551.067035764779	453.11697865539	379.259600131059	379.295798645786	351.182740492166	462.017061405549	265.129163654897	480.812547489361	407.811381891508	654.999888878019	387.35149854089	419.18566286799	291.471661589917
ACBD6	390.667166426102	284.147379073003	209.246675934377	346.995669807337	305.617891251093	240.447588946544	244.012681593887	144.558020813795	223.494883962377	307.601213637652	347.002384109548	275.671359570821	226.894107824486
ACBD7	19.6809655630278	17.7196583831717	0	0	3.33401335910284	16.8909463309555	0	3.1425656698651	0.89041786439194	4.14556891694949	17.0362927599003	6.19486201282743	0
ACCS	130.878420994135	140.491577180861	125.330040273195	150.426314304776	135.583209936849	214.614376910965	79.7733766749246	0	199.453601623794	194.841739096626	188.295867346266	142.481826295031	123.04642001251
ACCSL	40.3459794042071	0	9.80843793442394	0	0	4.96792539145751	0	0	0	6.63291026711918	0	5.16238501068953	0
ACD	1749.63783855317	2469.99380962568	1574.79920169362	1662.07234394419	1236.91895622715	1927.55505188552	1451.17157274826	6475.25656275705	1858.30208298598	2037.13256578898	2380.59775144922	1672.61274346341	1663.30834428258
ACE	3369.38130439036	536.019666090943	682.231349661043	814.886107552869	384.522874083194	595.15746189661	744.942561596722	114.703646950076	532.46988290638	306.772099854262	806.085641639492	782.617567620532	315.906411663323
ACE2	17.712869006725	0	0	27.6858247186705	15.5587290091466	0	0	0	0	0	0	77.4357751603429	12.2173750367031
ACER1	0	0	14.1677436830568	2.76858247186705	6.66802671820567	0	1.1731378922783	9.42769700959531	0.89041786439194	4.14556891694949	0	0	14.8353839731395
ACER2	307.023062783234	45.5648358424414	42.5032310491704	167.960669959934	80.0163206184681	90.4162421245267	129.045168150613	29.8543738637185	53.4250718635164	96.1771988732281	96.8378746352226	174.488613361306	198.096009523686
ACHE	120.05388993447	360.721617085995	394.517170251274	580.479458268125	709.033507702537	300.062693644034	841.139868763543	6.28513133973021	490.620243279959	198.158194230185	294.10021185512	227.144940470339	486.076992531688
